,,,,,,,,,,,,,,,,,,,
P,r,i,n,c,i,p,a,l, ,C,o,m,p,o,n,e,n,t,s
 
0.031835 -0.025412
0.030508 -0.029137
0.030259 -0.030805
0.030144 -0.032324
0.030264 -0.033179
0.029731 -0.033729
0.029156 -0.03401
0.029077 -0.033424
0.027566 -0.034704
0.026157 -0.035447
0.024899 -0.036641
0.022832 -0.038756
0.020987 -0.040398
0.019223 -0.041763
0.017631 -0.043296
0.016063 -0.04452
0.014874 -0.044789
0.013417 -0.045357
0.011881 -0.046155
0.010916 -0.045903
0.0097492 -0.045888
0.0083689 -0.046251
0.0076207 -0.046388
0.0073181 -0.046323
0.0069745 -0.045989
0.0067025 -0.04552
0.006375 -0.044972
0.0062161 -0.043009
0.0064063 -0.040494
0.0069047 -0.036344
0.0074927 -0.031822
0.0081864 -0.026715
0.0090467 -0.021032
0.0093718 -0.015108
0.0090865 -0.0091253
0.0083806 -0.0030129
0.0076282 0.0032976
0.0069097 0.009244
0.0051655 0.01545
0.0040962 0.021636
0.0030805 0.027719
0.0019481 0.031445
0.00039475 0.03367
-0.00049305 0.034127
-0.0019664 0.033345
-0.0025 0.032795
-0.0031843 0.030251
-0.0030774 0.0276
-0.0032284 0.023978
-0.0027976 0.020731
-0.0027821 0.017685
-0.0026357 0.015556
-0.0025573 0.01334
-0.0023964 0.012215
-0.0024073 0.011258
-0.0024254 0.010206
-0.0022825 0.0088442
-0.0020983 0.0080281
-0.001948 0.0075762
-0.0017458 0.0069973
-0.0014722 0.0057376
-0.0011698 0.0048574
-0.001075 0.004485
-0.001084 0.0043664
-0.001075 0.004485
-0.0010195 0.0044055
-0.0010804 0.0044138
-0.00096225 0.0043498
-0.00091395 0.0041754
-0.00086924 0.0039536
-0.00095164 0.0036772
-0.00085863 0.003281
-0.00080494 0.0031778
-0.00081033 0.0031066
-0.00067963 0.0032086
-0.0004486 0.0038243
-0.00025868 0.0047092
-6.3383e-05 0.0056652
7.8079e-05 0.0059096
0.00021236 0.0060591
0.00031629 0.0066201
0.00017155 0.0079581
-0.00014158 0.008696
-0.00058376 0.0085406
-0.0013175 0.0094077
-0.0016275 0.0077482
-0.0013289 0.0060057
-0.00073675 0.0040793
-0.00033959 0.0028267
-0.00030385 0.0024863
-0.00015177 0.002058
-0.00011424 0.0017413
-1.2257e-05 0.0014638
2.3481e-05 0.0011233
9.1251e-06 0.00093353
-5.2311e-06 0.00074374
-1.9587e-05 0.00055395
-1.5998e-05 0.0006014
-2.856e-05 0.00043533
-2.6765e-05 0.00045906
-2.4971e-05 0.00048278
-2.3176e-05 0.0005065
2.6918e-05 0.00035586
-3.9327e-05 0.00029299
2.8712e-05 0.00037958
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
-5.5478e-05 7.9475e-05
1.2562e-05 0.00016607
1.0767e-05 0.00014234
1.2562e-05 0.00016607
-0.00010198 0.00027757
1.2562e-05 0.00016607
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
-5.3836e-06 -7.1171e-05
-5.3683e-05 0.0001032
-5.3683e-05 0.0001032
